Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SampleRegistrationTestCase_Suite,Chrome 85.0.4183.83,,,2020-09-07 06:25:20,2020-09-07 06:27:20,1m - 59.747s,FAILED
,,,,,,,
Test Cases/V2/Test Case/Templates/SampleRegistrationTestCase,Chrome 85.0.4183.83,,,2020-09-07 06:25:20,2020-09-07 06:27:20,1m - 59.511s,FAILED
"callTestCase(findTestCase(""V2/Test Case/Pre-conditions/PRE_RegisterAndActivateTTUsers""), [""admin_fname"":admin_fname, ""lastname"":lastname, ""phonenumber"":""9999999999"", ""company"":""Traction Tools"", ""password"":password, ... ], STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-07 06:25:20,2020-09-07 06:27:20,1m - 59.312s,FAILED
